6/16/2011,2:38:18 PM
Timestep(s)=0.020000
PM31,PM162,Ch 3,Ch 3,CA_Pulse
0.0766,-0.0275,0.0003,0.0000,-8.9590
0.0729,-0.0272,0.0003,0.0006,-8.9590
0.0739,-0.0272,0.0003,0.0006,-8.9590
0.0824,-0.0269,0.0003,0.0006,-8.9590
0.0760,-0.0281,0.0003,0.0006,-8.9594
0.0751,-0.0281,0.0000,0.0006,-8.9590
0.0751,-0.0281,0.0003,0.0006,-8.9594
0.0729,-0.0281,0.0000,0.0000,-8.9594
0.0793,-0.0281,0.0003,0.0006,-8.9590
0.0760,-0.0262,0.0003,0.0006,-8.9594
0.0751,-0.0281,0.0003,0.0006,-8.9590
0.0723,-0.0290,0.0000,0.0006,-8.9590
0.0760,-0.0287,0.0003,0.0000,-8.9594
0.0739,-0.0293,0.0003,0.0006,-8.9594
0.0699,-0.0296,0.0003,0.0000,-8.9594
0.0705,-0.0296,0.0003,0.0000,-8.9597
0.0711,-0.0296,0.0003,0.0006,-8.9594
0.0705,-0.0302,0.0003,0.0006,-8.9594
0.0687,-0.0299,0.0003,0.0000,-8.9594
0.0702,-0.0299,0.0000,0.0006,-8.9594
0.0720,-0.0299,0.0003,0.0006,-8.9597
0.0708,-0.0302,0.0000,0.0000,-8.9597
0.0690,-0.0299,0.0000,0.0006,-8.9597
0.0708,-0.0302,0.0003,0.0006,-8.9597
0.0705,-0.0308,0.0003,0.0000,-8.9597
0.0705,-0.0314,0.0003,0.0006,-8.9603
0.0708,-0.0314,0.0003,0.0006,-8.9597
0.0693,-0.0317,0.0000,0.0006,-8.9597
0.0702,-0.0320,0.0003,0.0000,-8.9597
0.0739,-0.0314,0.0003,0.0006,-8.9597
0.0720,-0.0314,0.0003,0.0006,-8.9603
0.0714,-0.0314,0.0003,0.0006,-8.9603
0.0723,-0.0314,0.0003,0.0006,-8.9603
0.0702,-0.0314,0.0003,0.0000,-8.9603
0.0690,-0.0314,0.0003,0.0000,-8.9606
0.0659,-0.0323,0.0003,0.0000,-8.9606
0.0674,-0.0330,0.0000,0.0000,-8.9606
0.0674,-0.0314,0.0003,0.0006,-8.9606
0.0708,-0.0333,0.0003,0.0000,-8.9603
0.0693,-0.0330,0.0003,0.0006,-8.9606
0.0668,-0.0330,0.0003,0.0006,-8.9606
0.0687,-0.0330,0.0003,0.0006,-8.9606
0.0681,-0.0330,0.0003,0.0006,-8.9606
0.0684,-0.0336,0.0003,0.0006,-8.9606
0.0726,-0.0333,0.0003,0.0000,-8.9609
0.0732,-0.0330,0.0003,0.0009,-8.9606
0.0742,-0.0336,0.0003,0.0000,-8.9606
0.0687,-0.0342,0.0003,0.0006,-8.9606
0.0702,-0.0342,0.0000,0.0000,-8.9609
0.0699,-0.0342,0.0003,0.0006,-8.9609
0.0726,-0.0339,0.0003,0.0006,-8.9609
0.0671,-0.0348,0.0000,0.0006,-8.9609
0.0650,-0.0348,0.0003,0.0006,-8.9609
0.0662,-0.0351,0.0003,0.0000,-8.9612
0.0732,-0.0339,0.0000,0.0000,-8.9609
0.0745,-0.0339,0.0000,0.0000,-8.9609
0.0626,-0.0351,0.0003,0.0006,-8.9612
0.0650,-0.0357,0.0003,0.0006,-8.9612
0.0714,-0.0354,0.0003,0.0006,-8.9612
0.0668,-0.0348,0.0000,0.0006,-8.9612
0.0638,-0.0354,0.0003,0.0006,-8.9609
0.0659,-0.0360,0.0003,0.0006,-8.9612
0.0659,-0.0348,0.0003,0.0006,-8.9612
0.0653,-0.0357,0.0003,0.0006,-8.9612
0.0638,-0.0360,0.0000,0.0006,-8.9612
0.0687,-0.0363,0.0003,0.0006,-8.9612
0.0641,-0.0351,0.0003,0.0006,-8.9612
0.0629,-0.0363,0.0003,0.0006,-8.9612
0.0647,-0.0372,0.0003,0.0006,-8.9615
0.0668,-0.0363,0.0003,0.0006,-8.9615
0.0528,-0.0360,0.0000,0.0006,-8.9615
0.0638,-0.0372,0.0003,0.0006,-8.9615
0.0668,-0.0369,0.0003,0.0000,-8.9621
0.0620,-0.0375,0.0000,0.0000,-8.9615
0.0620,-0.0378,0.0003,0.0006,-8.9615
0.0671,-0.0375,0.0003,0.0000,-8.9615
0.0589,-0.0369,0.0003,0.0000,-8.9615
0.0620,-0.0388,0.0000,0.0006,-8.9615
0.0629,-0.0381,0.0003,0.0000,-8.9621
0.0632,-0.0381,0.0003,0.0000,-8.9621
0.0626,-0.0388,0.0003,0.0006,-8.9621
0.0623,-0.0391,0.0003,0.0000,-8.9621
0.0610,-0.0381,0.0000,0.0000,-8.9621
0.0623,-0.0391,0.0003,0.0000,-8.9621
0.0647,-0.0391,0.0003,0.0006,-8.9621
0.0650,-0.0388,0.0003,0.0000,-8.9621
0.0598,-0.0397,0.0003,0.0006,-8.9621
0.0644,-0.0388,0.0003,0.0000,-8.9624
0.0662,-0.0391,0.0000,0.0006,-8.9624
0.0592,-0.0400,0.0003,0.0006,-8.9624
0.0629,-0.0397,0.0003,0.0000,-8.9624
0.0580,-0.0403,0.0003,0.0000,-8.9624
0.0589,-0.0403,0.0000,0.0000,-8.9627
0.0638,-0.0397,0.0003,0.0006,-8.9624
0.0577,-0.0409,0.0003,0.0006,-8.9627
0.0607,-0.0412,0.0003,0.0006,-8.9624
0.0583,-0.0403,0.0003,0.0006,-8.9627
0.0607,-0.0403,0.0003,0.0006,-8.9627
0.0571,-0.0409,0.0003,0.0006,-8.9624
0.0558,-0.0418,0.0003,0.0006,-8.9627
0.0613,-0.0415,0.0003,0.0006,-8.9624
0.0577,-0.0415,0.0003,0.0006,-8.9624
0.0577,-0.0421,0.0003,0.0006,-8.9627
0.0613,-0.0415,0.0003,0.0006,-8.9627
0.0598,-0.0418,0.0003,0.0000,-8.9630
0.0629,-0.0412,0.0000,0.0006,-8.9627
0.0565,-0.0418,0.0003,0.0006,-8.9627
0.0583,-0.0421,0.0003,0.0006,-8.9630
0.0586,-0.0427,0.0003,0.0006,-8.9630
0.0607,-0.0427,0.0000,0.0000,-8.9627
0.0604,-0.0430,0.0003,0.0006,-8.9630
0.0565,-0.0436,0.0000,0.0000,-8.9627
